baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-miR-7a-5p	1307.02153494607	1.31934299364211	0.27446727525251	4.80692276493916	1.53271168727788e-06	0.0019817962116503
mmu-miR-7b-5p	283.614946367464	1.27146416753243	0.308668845273974	4.11918529193925	3.80214320104506e-05	0.0226280213160678
mmu-miR-466m-5p	8.60808920727311	6.50188359957519	1.63516732314527	3.97628029104001	7.00016127333885e-05	0.0226280213160678
mmu-miR-669m-5p	8.60808920727311	6.50188359957519	1.63516732314527	3.97628029104001	7.00016127333885e-05	0.0226280213160678
mmu-miR-764-3p	336.017288199918	0.97610687493703	0.27364761989757	3.56702124908816	0.00036106221240374	0.0933706881276071
mmu-miR-1264-3p	72.6259070323406	1.99929893001673	0.597490540418807	3.34615997203125	0.000819391079177233	0.176578777562694
mmu-miR-1298-3p	1790.62873775907	1.0373853754994	0.328438254971349	3.15854002935773	0.00158561532068263	0.292885801377521
mmu-miR-1298-5p	10948.5324667274	4.00588535778456	1.3036519992047	3.07281802216265	0.00212047754577173	0.342722183335356
mmu-miR-1912-3p	77.4314343408898	4.73081041031085	1.59828496373324	2.95992924769856	0.00307709701568305	0.442076271253131
mmu-miR-3552	65.5880428740068	1.28304567572132	0.442554991659807	2.89917795505875	0.00374142477243072	0.483766223075293
mmu-miR-448-3p	1302.44246644431	3.36363997977926	1.20520412741761	2.7909296883894	0.00525568879750411	0.617782328652074
mmu-miR-466b-5p	24.5166661100336	1.55411008239135	0.576505545147106	2.69574177642088	0.00702320882172526	0.698539154345444
mmu-miR-466o-5p	24.5166661100336	1.55411008239135	0.576505545147106	2.69574177642088	0.00702320882172526	0.698539154345444
mmu-miR-1912-5p	3.75886425305216	5.30027458365122	2.0162563061616	2.62877024486112	0.00856942361507312	0.791447481020682
mmu-miR-204-5p	51075.9134967588	1.09138471439647	0.422791539931705	2.58137784538631	0.00984068105490289	0.843904952941034
mmu-miR-141-3p	31.3339521017881	1.30986611109955	0.511503992853758	2.56081307164702	0.0104427527046068	0.843904952941034
mmu-miR-34b-3p	220.755258310948	1.33333918019793	0.538118782572482	2.47777855629548	0.0132203167836535	0.961343407373202
mmu-miR-669a-5p	388.387389791799	0.41220138938004	0.167969085238807	2.45403128078004	0.0141264692498769	0.961343407373202
mmu-miR-669p-5p	388.387389791799	0.41220138938004	0.167969085238807	2.45403128078004	0.0141264692498769	0.961343407373202
mmu-miR-34c-3p	102.490585198179	1.27482787942085	0.530883340893151	2.40133336502157	0.0163354471527981	0.997637297153193
mmu-miR-183-5p	171.470266917512	0.819502185665424	0.342217842831753	2.39467988835498	0.0166348812416923	0.997637297153193
mmu-miR-181a-2-3p	1570.08949231247	-0.38609196756384	0.182037895476994	-2.12094282101077	0.0339266145326435	0.997637297153193
mmu-miR-434-3p	278553.23455011	-0.27991785841539	0.133582725760262	-2.09546449080365	0.0361297218401243	0.997637297153193
mmu-miR-764-5p	44.250109368462	1.02295194415692	0.492670897095794	2.07633929705821	0.0378625812310303	0.997637297153193
mmu-miR-3057-5p	171.852569287353	-0.598646530886422	0.290628608989673	-2.05983345193554	0.0394144654036567	0.997637297153193
mmu-miR-1264-5p	27.6330223545502	1.41118658996438	0.685648866598582	2.05817679968626	0.0395731648424869	0.997637297153193
mmu-miR-27a-5p	16.2050853111283	1.28122292481415	0.629747420207073	2.03450285575264	0.0419009209638286	0.997637297153193
mmu-miR-574-3p	150.54247681626	0.506031497840423	0.249871185408136	2.02516947688018	0.0428499647352774	0.997637297153193
mmu-miR-34c-5p	18595.4130030209	1.37618810867542	0.69391143773669	1.98323306669233	0.0473414019341322	0.997637297153193
mmu-let-7f-5p	259292.955312982	-0.43528120479733	0.220266119601971	-1.97616049887245	0.0481366021669045	0.997637297153193
mmu-miR-331-3p	2297.303201292	0.493015526290304	0.250433359332079	1.9686495745024	0.0489933455602607	0.997637297153193
mmu-miR-448-5p	31.8454965332214	0.877166347705492	0.445954412901526	1.96694173738154	0.0491899280487457	0.997637297153193
mmu-miR-582-3p	5508.12712662939	-0.30982010733256	0.158326969903503	-1.95683721807718	0.0503666097809955	0.997637297153193
mmu-let-7j	12082.4870081711	-0.524598895746184	0.273917981168104	-1.91516779405671	0.0554711082766633	0.997637297153193
mmu-miR-204-3p	30.9756504160157	1.01393556028585	0.537100105829166	1.88779623999617	0.0590533101672183	0.997637297153193
mmu-miR-5621-3p	2.92667820248118	3.46196626513755	1.8343889914173	1.88725852659132	0.0591255617750433	0.997637297153193
mmu-miR-1843b-3p	683.525716419536	-0.613752422051292	0.327048246711156	-1.8766418356413	0.0605671994228802	0.997637297153193
mmu-miR-33-5p	267.840795687488	-0.449350248804398	0.240928788558292	-1.86507495220182	0.0621708989405864	0.997637297153193
mmu-miR-202-5p	4.9631867923162	2.11632363579166	1.13790146056449	1.85984789468658	0.0629070489853183	0.997637297153193
mmu-miR-30c-2-3p	724.955781081772	-0.366023010381233	0.197814968110543	-1.85033020441958	0.064265971845671	0.997637297153193
mmu-miR-130a-5p	2.74495141895305	3.3599323572592	1.82749693377655	1.83854336232228	0.0659823783442911	0.997637297153193
mmu-miR-669d-5p	27.7100928538889	0.867488690969021	0.477864048828145	1.81534621216294	0.0694707214371779	0.997637297153193
mmu-let-7i-5p	79126.9571818208	-0.430530429782861	0.239865457870024	-1.79488298817979	0.072672344901151	0.997637297153193
mmu-miR-872-3p	4472.95153792516	0.2474121353292	0.139390077140867	1.77496232446422	0.075904108248869	0.997637297153193
mmu-miR-181b-5p	99244.9424603121	-0.365520028260678	0.207275274646657	-1.76345214779612	0.0778242612198383	0.997637297153193
mmu-let-7g-5p	42206.4457065712	-0.311569230906703	0.178568009701211	-1.74482109885212	0.0810160149578525	0.997637297153193
mmu-miR-34b-5p	1024.03090193205	1.25796199376892	0.721860209931597	1.74266703783012	0.0813917925810937	0.997637297153193
mmu-miR-184-3p	96.6767724726025	-0.554570284984791	0.318776553300813	-1.73968342163946	0.0819146219420979	0.997637297153193
mmu-miR-1839-5p	4677.38125932351	-0.341947509739667	0.197258479955111	-1.73349966915228	0.0830068962538422	0.997637297153193
mmu-miR-3473b	3.94751051749861	2.19077895536498	1.27592757106697	1.71700886871892	0.0859775515666257	0.997637297153193
mmu-miR-344d-3p	11485.6964427718	-0.295933962693569	0.173691144225013	-1.70379419177638	0.0884195434730313	0.997637297153193
mmu-miR-139-5p	4599.85745610411	0.271967272783301	0.159666461510712	1.7033462770455	0.0885032850651369	0.997637297153193
mmu-miR-124-5p	1479.16571943537	0.233090372693042	0.136850217529612	1.70325175144575	0.0885209656224126	0.997637297153193
mmu-miR-12189-3p	13.9527274116436	-1.18320755509285	0.695737453373177	-1.70065237879067	0.0890082822999922	0.997637297153193
mmu-let-7e-5p	12377.1995413176	-0.250845245127998	0.14917602220881	-1.68153863746867	0.0926583381379191	0.997637297153193
mmu-miR-24-3p	12305.5841444718	0.253805482127991	0.153169314207794	1.65702564799415	0.0975142897904447	0.997637297153193
mmu-miR-3475-3p	604.24735448701	-0.29435361172095	0.178427607240411	-1.64970890028437	0.0990024889482864	0.997637297153193
mmu-miR-465a-3p	4.9403951180862	-2.54119550796241	1.54652513490881	-1.64316469910607	0.100348861495102	0.997637297153193
mmu-miR-465b-3p	4.9403951180862	-2.54119550796241	1.54652513490881	-1.64316469910607	0.100348861495102	0.997637297153193
mmu-miR-465c-3p	4.9403951180862	-2.54119550796241	1.54652513490881	-1.64316469910607	0.100348861495102	0.997637297153193
mmu-miR-125a-5p	61067.0369053764	-0.226443763219049	0.138604563644534	-1.63373959171927	0.102313541319953	0.997637297153193
mmu-miR-466b-3p	443.06701485211	-0.402236696389063	0.247266886033589	-1.626730949871	0.103794252439284	0.997637297153193
mmu-miR-466c-3p	443.06701485211	-0.402236696389063	0.247266886033589	-1.626730949871	0.103794252439284	0.997637297153193
mmu-miR-466p-3p	443.06701485211	-0.402236696389063	0.247266886033589	-1.626730949871	0.103794252439284	0.997637297153193
mmu-miR-7033-3p	1.31987776099422	3.78945982701616	2.36538784421065	1.60204587010581	0.109145466495164	0.997637297153193
mmu-miR-211-5p	142.93938834693	0.699878822954503	0.439637926189289	1.59194369107538	0.111397357301102	0.997637297153193
mmu-miR-676-3p	3350.73023945696	-0.345079445573834	0.220203156930561	-1.56709581453754	0.117092297381101	0.997637297153193
mmu-miR-335-3p	1632.9526637359	0.322332244334583	0.207354324609343	1.55449974309366	0.120065257897023	0.997637297153193
mmu-miR-466a-3p	427.702916256188	-0.387659498256846	0.2509519061121	-1.54475614177515	0.122405259478545	0.997637297153193
mmu-miR-466e-3p	427.702916256188	-0.387659498256846	0.2509519061121	-1.54475614177515	0.122405259478545	0.997637297153193
mmu-miR-7669-5p	1.63923397217785	4.09101863764923	2.64975410271042	1.5439238808856	0.122606774033712	0.997637297153193
mmu-miR-6990-3p	2.31789804832381	3.00028390855192	1.94696124517877	1.54100854137774	0.12331470719961	0.997637297153193
mmu-miR-423-5p	839.379264143201	-0.467916346203548	0.30377674227048	-1.54032972605559	0.123480001428198	0.997637297153193
mmu-miR-3470a	14.3421665610767	1.07317613846024	0.699772912515689	1.53360628750571	0.125126540575992	0.997637297153193
mmu-miR-298-5p	2930.553910888	-0.321688112992657	0.210501641950084	-1.52819764260527	0.126463473934458	0.997637297153193
mmu-miR-92a-1-5p	33.9233711847649	0.625114306863394	0.412359993978727	1.51594314674387	0.129533728939478	0.997637297153193
mmu-miR-3473e	2.0735265844347	2.93681026145774	1.93936975789905	1.51431167238538	0.129946809508711	0.997637297153193
mmu-miR-6940-3p	4.8309715855591	1.7001060013107	1.13490999522154	1.49800954125779	0.134130771532923	0.997637297153193
mmu-miR-433-5p	417.033692409521	-0.244140545990219	0.16298317852822	-1.49794934787056	0.134146411035638	0.997637297153193
mmu-miR-375-3p	1433.39205177297	0.431243653891001	0.288465616286661	1.49495686675689	0.134925699505155	0.997637297153193
mmu-miR-135a-5p	1242.63107501164	0.366543260038742	0.246843162614494	1.48492369063991	0.137564039581961	0.997637297153193
mmu-miR-3059-3p	3.59592534683991	-1.82716366282259	1.2325008077665	-1.48248475888119	0.138211356013814	0.997637297153193
mmu-miR-665-3p	138.742301807129	0.362021595996565	0.24431299844062	1.4817942488007	0.138395049859243	0.997637297153193
mmu-miR-3470b	34.9227777310089	0.63796412932893	0.442328423582228	1.44228608273086	0.149221684680157	0.997637297153193
mmu-miR-344b-3p	1308.1558013637	-0.267054447030174	0.185959938015361	-1.43608591119295	0.150977896572209	0.997637297153193
mmu-miR-6944-3p	375.69570909006	-0.356037621107917	0.250346759180855	-1.42217787149667	0.154974621012613	0.997637297153193
mmu-miR-342-5p	135.087956074202	-0.360915261415853	0.254242741739433	-1.4195695772733	0.155733027570753	0.997637297153193
mmu-miR-98-5p	7331.20778090402	-0.261651175411216	0.184850133652314	-1.41547733962345	0.156928587812587	0.997637297153193
mmu-miR-200a-3p	192.529554403227	0.363817215299075	0.257088916216599	1.41514158079284	0.157026988850726	0.997637297153193
mmu-miR-7043-3p	1.06550761229793	3.49205919574032	2.47581875069439	1.41046641429664	0.158402006769633	0.997637297153193
mmu-miR-1224-5p	264.615650158158	0.30425459961939	0.215815974212612	1.40978720750139	0.15860252506568	0.997637297153193
mmu-miR-125b-1-3p	1352.93002070396	-0.262770318545711	0.186758818042039	-1.40700354232571	0.15942633838148	0.997637297153193
mmu-miR-193a-3p	250.419921230941	-0.337505524606438	0.240539335135634	-1.40311988646733	0.160581091984517	0.997637297153193
mmu-miR-146a-5p	944.196637160173	-0.297380246790157	0.212254310027496	-1.40105634015928	0.161197226044946	0.997637297153193
mmu-miR-222-3p	13497.1675682141	-0.301081306076888	0.215530998918722	-1.39692808731623	0.162435197351881	0.997637297153193
