baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-miR-7a-5p	1307.02153494607	1.31934299364211	0.27446727525251	4.80692276493916	1.53271168727788e-06	0.0019817962116503
mmu-miR-7b-5p	283.614946367464	1.27146416753243	0.308668845273974	4.11918529193925	3.80214320104506e-05	0.0226280213160678
mmu-miR-466m-5p	8.60808920727311	6.50188359957519	1.63516732314527	3.97628029104001	7.00016127333885e-05	0.0226280213160678
mmu-miR-669m-5p	8.60808920727311	6.50188359957519	1.63516732314527	3.97628029104001	7.00016127333885e-05	0.0226280213160678
