baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-miR-7a-5p	215.821413843299	0.886445359681914	0.185385210356171	4.78164012101523	1.73870743743775e-06	0.00212643919598636
mmu-miR-671-5p	112.835699138945	-0.918363749748729	0.230381331972475	-3.98627676073359	6.7118217764152e-05	0.0410427901627789
mmu-miR-429-3p	28.3411757362475	2.01697085079837	0.648727950506185	3.1091166169495	0.00187647637871823	0.760044216844426
mmu-miR-7b-5p	37.5011936094524	1.12115643858201	0.3706228386247	3.02506030859398	0.00248583554160074	0.760044216844426
mmu-miR-200b-3p	17.7248120928455	2.0304422139902	0.739754413911796	2.74475173896333	0.0060556689395391	0.998565320850855
mmu-miR-219a-2-3p	2986.57271192362	0.303298494728368	0.11450897947073	2.64868743159041	0.00808050279444495	0.998565320850855
mmu-miR-1249-3p	2289.28553512673	-0.371157937381962	0.140618124823037	-2.63947437678501	0.00830346999543057	0.998565320850855
mmu-miR-141-3p	20.3383557676179	1.64371230336739	0.625765872884762	2.62672091047396	0.0086212011621108	0.998565320850855
mmu-miR-19b-3p	726.483990082839	0.261689822548444	0.109192496430178	2.39659162583373	0.0165483555130237	0.998565320850855
mmu-miR-5123	1.89489921256813	4.24250282694709	1.9041713159244	2.22800479739793	0.0258801950912083	0.998565320850855
mmu-miR-129-1-3p	2320.0424003758	-0.260230591919666	0.120273784513245	-2.16365181301008	0.030491081823494	0.998565320850855
mmu-miR-200a-3p	25.3735021311506	1.46455345026707	0.723572831064955	2.02405810084321	0.0429641740100752	0.998565320850855
mmu-miR-124-5p	1786.17314151645	0.188688647829317	0.093601733101248	2.01586703127831	0.0438138819042688	0.998565320850855
mmu-miR-465c-5p	1.46854176565623	-4.10777865109403	2.04919046128526	-2.00458606884087	0.0450073171932318	0.998565320850855
mmu-miR-5132-3p	4.55412668475351	-2.00639576564711	1.02805327086181	-1.95164571964756	0.0509802811793509	0.998565320850855
mmu-miR-670-3p	170.916488064363	0.458036217160703	0.236965912726297	1.93292027486565	0.0532460198143	0.998565320850855
mmu-miR-1a-3p	54.4781067810507	0.756355349774383	0.396540868074303	1.90738309886551	0.0564709963642214	0.998565320850855
mmu-miR-365-3p	177.665696845785	-0.350998915911965	0.184655770611586	-1.90082830744712	0.0573245049987873	0.998565320850855
mmu-miR-129-2-3p	5719.12435805339	-0.283203161090922	0.152021712168191	-1.86291258697045	0.0624745656225691	0.998565320850855
mmu-miR-466c-5p	36.8473268681691	-0.655045404129277	0.35861607741296	-1.82659240727506	0.0677610758371355	0.998565320850855
mmu-miR-199a-5p	95.683781876747	-0.389523984369752	0.223392176985442	-1.74367782088957	0.0812152849182939	0.998565320850855
mmu-miR-375-3p	500.433734380541	0.523433620053559	0.301809403201669	1.73431846225083	0.0828615934591476	0.998565320850855
mmu-miR-122-5p	4.68930271632111	1.81956930276892	1.07172032022921	1.69780237289872	0.0895450679159096	0.998565320850855
mmu-miR-21a-5p	15708.191118838	0.156346471734445	0.0958767632591644	1.63070243946205	0.10295312160907	0.998565320850855
mmu-miR-344c-3p	33.8264820704555	-0.599860314755483	0.369604313476418	-1.62297974586207	0.104593734660568	0.998565320850855
mmu-miR-146b-5p	5805.63477103171	0.380127485920636	0.235541763834003	1.61384325112098	0.106561430423105	0.998565320850855
mmu-miR-129-5p	13222.018223996	0.166385562553183	0.107012607255804	1.554822060876	0.119988453541278	0.998565320850855
mmu-miR-128-1-5p	170.128767881317	-0.27078226909449	0.17526840422485	-1.54495769098865	0.122356497504389	0.998565320850855
mmu-miR-183-5p	398.583028700379	0.283997856549911	0.184186228575541	1.5419060303601	0.123096430339871	0.998565320850855
mmu-miR-3057-5p	111.798085326786	0.355962358270429	0.233836785769812	1.52226843650185	0.127941833400011	0.998565320850855
mmu-let-7d-3p	4777.78086282327	-0.134531863779599	0.0901971841546798	-1.49153063968038	0.135822233088323	0.998565320850855
