baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
mmu-miR-7b-3p	10.1194071348292	0.981446307493418	0.644291195008575	1.52329616654214	0.127684625799915	0.995672620864704
mmu-miR-1934-5p	3.58945367940672	1.6699069177976	1.10737128702733	1.50799188796052	0.131556603201481	0.995672620864704
mmu-miR-7000-3p	1.75552353653703	-2.47795050069066	1.64425129148267	-1.50703880454685	0.13180071098493	0.995672620864704
mmu-miR-455-3p	30.0615830730253	-0.55034748074432	0.370493080256618	-1.48544604493862	0.137425706044648	0.995672620864704
mmu-miR-3547-3p	15.9277602113788	0.812791102929203	0.551885343377812	1.472753557749	0.140817499306332	0.995672620864704
mmu-miR-34a-5p	416.50237119989	-0.291441182635357	0.198216721109658	-1.47031582907743	0.141476235915102	0.995672620864704
mmu-miR-6913-3p	2.35405658018398	2.15632074221292	1.47000112380017	1.46688373723043	0.142407685229584	0.995672620864704
mmu-miR-3070-2-3p	0.927377352192905	3.05680513809755	2.09545954028322	1.45877554747939	0.144626894881273	0.995672620864704
mmu-miR-186-3p	16.8683772936297	0.768166027613484	0.527416033951752	1.45647075205104	0.145262529229066	0.995672620864704
mmu-miR-551b-5p	5.39749249743397	1.35464597346979	0.946983156975747	1.4304858153929	0.152577634061861	0.995672620864704
mmu-miR-219a-1-3p	15.7248447774725	-0.702870379517266	0.491706842418368	-1.42945006837881	0.152874916523089	0.995672620864704
mmu-miR-133a-3p	656.039696165087	-0.257430515664885	0.18116906867716	-1.42094076844663	0.155333979670816	0.995672620864704
mmu-miR-328-3p	4028.05478622601	-0.194590244840347	0.138119541166787	-1.40885383195249	0.158878393525411	0.995672620864704
mmu-miR-20b-5p	2.26294449278288	2.16587155070921	1.55391212441907	1.39381855426279	0.163372403743987	0.995672620864704
mmu-miR-194-5p	737.253779712543	0.27658456566981	0.199097332151264	1.38919272639814	0.16477415291036	0.995672620864704
mmu-miR-494-3p	14.7361052615405	0.900137378441841	0.653129716365874	1.37819081858709	0.16814438123614	0.995672620864704
mmu-miR-879-3p	86.2758607793509	0.330044691244134	0.240549647013847	1.37204396406841	0.170049752008173	0.995672620864704
mmu-miR-15b-5p	78.5114181249828	-0.374648048817539	0.273323295111343	-1.37071393298153	0.170464149731312	0.995672620864704
mmu-miR-6946-3p	1.53000319163317	-2.23276810302356	1.65507018081658	-1.34904738717602	0.177321745824942	0.995672620864704
mmu-miR-1264-5p	7.86177681562701	0.918145423507665	0.691586681137182	1.32759269163187	0.184312700215516	0.995672620864704
mmu-miR-483-3p	8.21575234018946	-0.881117169541041	0.670901097233303	-1.31333392235404	0.189070452652075	0.995672620864704
mmu-miR-467a-5p	522.50955024019	-0.305092462040427	0.23331619106879	-1.30763519086626	0.190997074893318	0.995672620864704
mmu-miR-467b-5p	522.50955024019	-0.305092462040427	0.23331619106879	-1.30763519086626	0.190997074893318	0.995672620864704
mmu-miR-7013-3p	0.870589114344504	2.94520170378351	2.26301093819189	1.30145270359881	0.193103543651016	0.995672620864704
mmu-miR-1197-3p	29.5809357292667	0.516097774446279	0.397939744332323	1.29692442586303	0.194657191237871	0.995672620864704
mmu-miR-3066-5p	5.64497284494182	-1.05207587660696	0.8212237734856	-1.28110742841934	0.200155935017838	0.995672620864704
mmu-miR-5128	0.785348527789928	2.81944861512331	2.24342510368861	1.25676074966247	0.208840282804303	0.995672620864704
mmu-let-7a-5p	56340.4080380678	-0.179232491428974	0.142659039970409	-1.2563696732163	0.2089819716805	0.995672620864704
mmu-miR-217-5p	25.2865076730046	0.614719048427577	0.493460259471664	1.24573161998038	0.212862941021324	0.995672620864704
mmu-miR-3473a	0.90917164339719	3.03015508176431	2.46369383294092	1.22992355675429	0.218725731963322	0.995672620864704
mmu-miR-6966-3p	2.04451672323058	-2.02109892498576	1.64586094740007	-1.22798887000658	0.21945114612165	0.995672620864704
mmu-miR-6998-5p	0.965406175131074	-2.48163061138961	2.06043635360328	-1.20441993126832	0.22842731223423	0.995672620864704
mmu-miR-25-5p	5.76892287625749	-0.964312221543333	0.803765431218879	-1.19974333815401	0.230239036097052	0.995672620864704
mmu-miR-375-3p	520.199501243343	0.258708474319318	0.215809554813951	1.19878137250387	0.23061296747872	0.995672620864704
mmu-miR-146b-5p	3789.7168543066	-0.338359646178643	0.283071743537238	-1.19531409935351	0.231964333127147	0.995672620864704
mmu-miR-128-1-5p	1393.45768274881	-0.190330413540955	0.162376647060115	-1.17215385948012	0.241135289339735	0.995672620864704
mmu-miR-6959-5p	1.01757820963772	-2.57559448480322	2.22242888460926	-1.15890974178733	0.246492977583144	0.995672620864704
mmu-miR-872-3p	1347.74826218251	0.279776958183922	0.241918044733606	1.15649478934903	0.247478829673725	0.995672620864704
mmu-miR-133b-3p	17.6894035939068	-0.660019738792781	0.570847382953945	-1.15621050126813	0.247595065489449	0.995672620864704
mmu-miR-449a-5p	54.7951345705277	-0.351467225599439	0.306258290335964	-1.14761701704101	0.251126701656795	0.995672620864704
mmu-miR-329-5p	1023.30065095763	-0.181065824205076	0.157827812739387	-1.147236479188	0.251283898725478	0.995672620864704
mmu-miR-369-3p	2535.52578479695	0.201312112867691	0.176159270849768	1.14278466240573	0.25312800836191	0.995672620864704
mmu-miR-9768-5p	1.89168560509203	1.8195308648217	1.59621607917281	1.13990260376566	0.25432688016694	0.995672620864704
mmu-miR-152-3p	97.0987591289369	0.269891387011766	0.237934565414596	1.13430928600679	0.256664835346056	0.995672620864704
mmu-miR-3104-3p	2.66317883344598	-1.3134184215577	1.17096292336583	-1.12165671119833	0.26200842890636	0.995672620864704
mmu-miR-221-3p	5583.05321843296	-0.150540111044911	0.134347660666511	-1.12052647807984	0.262489475757617	0.995672620864704
mmu-miR-466i-5p	17.0403706713235	-2.82196037101165	2.52479512362909	-1.11769875686207	0.263695673885607	0.995672620864704
mmu-miR-873a-3p	174.184737776092	-0.228613305422517	0.205418587250373	-1.11291440800279	0.265745191447217	0.995672620864704
mmu-miR-1251-5p	36.2444719412637	0.434672374899071	0.39273365295778	1.10678667749871	0.268386169571127	0.995672620864704
mmu-miR-24-3p	5753.48035955894	-0.187090652536719	0.169081672056388	-1.10651054168855	0.268505603806228	0.995672620864704
mmu-miR-181a-5p	892015.415553589	-0.160796088238557	0.1459228849912	-1.10192509042193	0.270494239594421	0.995672620864704
mmu-miR-190a-5p	176.337527122777	0.225351584329323	0.204665980337673	1.10107006527182	0.270866164170294	0.995672620864704
mmu-miR-12184-5p	2.11638202689745	1.51134440500232	1.37351810642943	1.10034545444121	0.271181634486001	0.995672620864704
mmu-miR-204-3p	5.96327096087627	0.941086623005443	0.857194385987716	1.0978683929679	0.272261961356829	0.995672620864704
mmu-miR-135b-3p	8.11427196974875	0.815397809683281	0.743427059692151	1.0968094301288	0.272724707014622	0.995672620864704
mmu-miR-12189-3p	4.81782336297282	-1.00094071088501	0.913287209095784	-1.09597583423511	0.273089350088823	0.995672620864704
mmu-miR-190b-5p	9.09395074472482	0.708901879878273	0.651736894226099	1.08771175325291	0.276722377470905	0.995672620864704
mmu-miR-3070-3p	0.661525412182666	2.57030342180414	2.36354685128623	1.08747724649731	0.276825948965747	0.995672620864704
mmu-miR-6999-3p	0.661525412182666	2.57030342180414	2.36354685128623	1.08747724649731	0.276825948965747	0.995672620864704
mmu-miR-3081-3p	9.51560101745696	-0.741259105047074	0.683107465956322	-1.08512809768422	0.277864924325418	0.995672620864704
mmu-miR-500-3p	62.1140434105622	0.298930811813114	0.276477809545509	1.0812108657274	0.279603325744004	0.995672620864704
mmu-miR-362-5p	15.247602322007	-0.546231597144772	0.50785569539275	-1.07556457887579	0.282122035978187	0.995672620864704
